Ville,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV
Amqui,G5J 3H7,5,47,QC,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",CPE,Bas Saint Laurent,"7, rue Saint Augustin",CR
Amqui,G5J 1H3,20,70,QC,L'ANCRAGE,CPE,Bas Saint Laurent,"15, rue Audet",CR
Cacouna,G0L 1G0,5,21,QC,LE PETIT PORT DE MER,CPE,Bas Saint Laurent,"470, rue Beaulieu",CR
Causapscal,G0J 1J0,5,21,QC,L'ENFANT RIT INC.,CPE,Bas Saint Laurent,"154, rue Saint Luc C.P. 66",CR
Dégelis,G5T 1Y6,10,50,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÉGELIS",CPE,Bas Saint Laurent,"113, 7e Rue Est",CR
L'Isle Verte,G0L 1K0,10,34,QC,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÈRE DU LOUP,CPE,Bas Saint Laurent,"10, rue Verreault",CR
La Pocatière,G0R 1Z0,0,50,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,Bas Saint Laurent,"405, 10e Avenue Potvin",CR
La Pocatière,G0R 1Z0,20,54,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,Bas Saint Laurent,"400, 3e Rue Fraser",CR
La Pocatière,G0R 1Z0,0,44,QC,PETITE ÉCOLE MONTESSORI DE LA POCATIÈRE,GARD,Bas Saint Laurent,"100, 4e avenue Painchaud",CR
Matane,G4W 1K9,20,70,QC,CPE L¿ESCOUADE DES BESTIOLES,CPE,Bas Saint Laurent,"494, avenue Saint Rédempteur",CR
Matane,G4W 3T1,20,80,QC,L'ÉQUIPAGE DES PETITS,CPE,Bas Saint Laurent,"145, boulevard Dion",CR
Matane,G4W 3J4,0,60,QC,LA MARMAILLE,CPE,Bas Saint Laurent,"335, rue de la Gare",CR
Matane,G4W 2X7,10,68,QC,LES P'TITS LOUPS DE MER,CPE,Bas Saint Laurent,"210, avenue d'Amours",CR
Mont Joli,G5H 2V8,0,8,QC,CENTRE DE LA PETITE ENFANCE LA PAS R AILES,CPE,Bas Saint Laurent,"1564, boulevard Jacques Cartier",CR
Mont Joli,G5H 2M3,10,50,QC,CENTRE DE LA PETITE ENFANCE LES MINI MONTOIS,CPE,Bas Saint Laurent,"1280, rue Thibault",CR
Mont Joli,G5H 1N9,10,60,QC,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,CPE,Bas Saint Laurent,"69, avenue de la Gare",CR
Métis sur Mer,G0J 1S0,5,21,QC,INSTALLATION DE MÉTIS SUR MER,CPE,Bas Saint Laurent,"24, rue du Couvent",CR
Rimouski,G5N 5E2,10,60,QC,"CENTRE DE LA PETITE ENFANCE ""LES TROIS COINS""",CPE,Bas Saint Laurent,"11, chemin Saint Joseph",CR
Rimouski,G0L 1B0,15,75,QC,CENTRE DE LA PETITE ENFANCE DU VILLAGE DU BIC,CPE,Bas Saint Laurent,"74, rue Sainte Cécile du Bic",CR
Rimouski,G5L 6J9,5,40,QC,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,CPE,Bas Saint Laurent,"418, rue Rouer",CR
Rimouski,G5L 4E1,10,78,QC,L'ENFANT DU FLEUVE INC.,CPE,Bas Saint Laurent,"61, rue Sainte Marie",CR
Rimouski,G5L 0J2,20,78,QC,L'ENFANT DU LITTORAL,CPE,Bas Saint Laurent,"744, rue d'Andromède",CR
Rimouski,G5L 2Z9,10,78,QC,L'UNIVERS DES COPAINS,CPE,Bas Saint Laurent,"290, allée des Ursulines",CR
Rimouski,G5L 2Z9,10,78,QC,L'UNIVERS DES COPAINS 2,CPE,Bas Saint Laurent,"290, allée des Ursulines",CR
Rimouski,G5L 8B4,10,78,QC,L'ÉVEIL DES CHÉRUBINS,CPE,Bas Saint Laurent,"30, rue Saint Laurent Ouest",CR
Rimouski,G5L 3E3,20,80,QC,L'ÉVEIL DES CHÉRUBINS INSTALLATION NATURE,CPE,Bas Saint Laurent,"300, allée du Rosaire",CR
Rimouski,G5M 0C6,20,80,QC,LA TRÂLÉE DES PRÉS,CPE,Bas Saint Laurent,"350, rue Arthur Buies Est",CR
Rimouski,G5L 8X9,10,80,QC,LA TRÂLÉE DU PARC,CPE,Bas Saint Laurent,"209, rue Tessier",CR
Rimouski,G5M 1J2,10,60,QC,LES FARFADETS D'À CÔTÉ,CPE,Bas Saint Laurent,"371, avenue de la Jeunesse",CR
Rimouski,G5M 1J2,10,80,QC,LES FARFADETS DE LA POINTE INC.,CPE,Bas Saint Laurent,"365, avenue de la Jeunesse",CR
Rimouski,G5L 3S4,20,78,QC,SUR LE CHEMIN DE L'ÉCOLE,GARD,Bas Saint Laurent,"714, boulevard Saint Germain O.",
Rimouski,G5M 0W6,20,78,QC,À CHACUN SON HISTOIRE   RIMOUSKI,GARD,Bas Saint Laurent,"352, rue Alcide C. Horth, bureau 101",CR
Rivière Bleue,G0L 2B0,5,29,QC,LA RIBAMBELLE,CPE,Bas Saint Laurent,"33, rue des Pins Est",CR
Rivière du Loup,G5R 6E3,10,70,QC,LA CLÉ DES BOIS,CPE,Bas Saint Laurent,"135, rue Frontenac",CR
Rivière du Loup,G5R 2W4,0,26,QC,LA LICORNE,CPE,Bas Saint Laurent,"61, rue Alexandre",CR
Rivière du Loup,G5R 0J5,10,44,QC,LA PASSERELLE DES P'TITS MOUSSES,CPE,Bas Saint Laurent,"121, rue Thomas Jones",CR
Rivière du Loup,G5R 2R2,0,30,QC,LA PETITE ÉCOLE DES MOUSSES,GARD,Bas Saint Laurent,"27, rue de Lévis",
Rivière du Loup,G5R 6C1,10,44,QC,LA RELÈVE DES MOUSSES,CPE,Bas Saint Laurent,"9, avenue Premier",CR
Rivière du Loup,G5R 1R1,0,16,QC,LE JARDIN,CPE,Bas Saint Laurent,"80, rue Frontenac",CR
Rivière du Loup,G5R 1H6,15,76,QC,MI LOUP,CPE,Bas Saint Laurent,"57, rue Beaubien",CR
Rivière du Loup,G5R 0J5,10,44,QC,QUENOUILLES ET GRENOUILLES,CPE,Bas Saint Laurent,"119, rue Thomas Jones",CR
Saint Alexandre de Kamouraska,G0L 2G0,10,60,QC,INSTALLATION LES AMIS D'ALEX,CPE,Bas Saint Laurent,"499, rue des Mélèzes",CR
Saint Anaclet de Lessard,G0K 1H0,5,30,QC,CENTRE DE LA PETITE ENFANCE LES PETITES ÉTOILES MAGIQUES,CPE,Bas Saint Laurent,"150, rue Proulx",CR
Saint Anaclet de Lessard,G0K 1H0,10,62,QC,CENTRE DE LA PETITE ENFANCE LES PETITS SOLEILS MAGIQUES,CPE,Bas Saint Laurent,"147, rue Lavoie",CR
Saint Antonin,G0L 2J0,15,80,QC,LA VILLA D'ANTONIN,CPE,Bas Saint Laurent,"218, rue Principale",CR
Saint Arsène,G0L 2K0,5,21,QC,LES PETITS POTS DE CONFITURE,CPE,Bas Saint Laurent,"65 A, rue de l'Église",CR
Saint Cyprien,G0L 2P0,5,29,QC,LA ROSE DES VENTS,CPE,Bas Saint Laurent,"99, rue Claude",CR
Saint Denis De La Bouteillerie,G0L 2R0,5,21,QC,GARDERIE LES PETITS BOURDONS,GARD,Bas Saint Laurent,"5, route 132 Est",CR
Saint Donat,G0K 1L0,0,16,QC,INSTALLATION DE SAINT DONAT,CPE,Bas Saint Laurent,"102, rue des Loisirs",CR
Saint Fabien,G0L 2Z0,10,50,QC,GARDERIE AUX POMMETTES ROUGES,GARD,Bas Saint Laurent,"50 A, 1re Rue",
Saint Hubert de Rivière du Loup,G0L 3L0,5,21,QC,RACONTE MOI UN MOULIN,CPE,Bas Saint Laurent,"1, rue du Saint Rosaire",CR
Saint Modeste,G0L 3W0,10,26,QC,LES AMIS DE LA FORÊT,CPE,Bas Saint Laurent,"141, 1er Rang",CR
Saint Moïse,G0J 2Z0,5,21,QC,SERVICES DE GARDE L'ENFANT JOUE,CPE,Bas Saint Laurent,"55, rue Principale",CR
Saint Pascal,G0L 3Y0,5,57,QC,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,Bas Saint Laurent,"555, rue Hudon C.P. 3",CR
Saint Valérien,G0L 4E0,5,21,QC,CENTRE DE LA PETITE ENFANCE LA FORÊT BORÉALE,CPE,Bas Saint Laurent,"7, avenue de Versant",CR
Saint Épiphane,G0L 2X0,0,8,QC,DES P'TITS SOURIRES,CPE,Bas Saint Laurent,"280, rue Sirois",CR
Sainte Luce Luceville,G0K 1P0,5,31,QC,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,CPE,Bas Saint Laurent,"20, rue des Coquillages",CR
Sayabec,G0J 3K0,5,31,QC,INSTALLATION SAYABEC,CPE,Bas Saint Laurent,"6C, rue Keable",CR
Trois Pistoles,G0L 4K0,10,60,QC,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,CPE,Bas Saint Laurent,"566, rue Jean Rioux",CR
Témiscouata sur le Lac,G0L 1E0,10,50,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",CPE,Bas Saint Laurent,"795, rue Commerciale Nord",CR
Témiscouata sur le Lac,G0L 1X0,10,50,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""   INSTALLATION NOTRE DAME",CPE,Bas Saint Laurent,"684, rue Bélanger",CR
Alma,G8C 1N1,5,39,QC,AU PAYS DES BOTTINES,CPE,Saguenay Lac Saint Jean,"501, rue Laliberté Est",CR
Alma,G8B 5S5,0,62,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,Saguenay Lac Saint Jean,"200, avenue McNaughton Nord",CR
Alma,G8B 0G1,20,36,QC,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,CPE,Saguenay Lac Saint Jean,"1065, rue Price Ouest",CR
Alma,G8E 2J1,10,70,QC,CENTRE DE LA PETITE ENFANCE LES PICASSOS DE L'ÎLE,CPE,Saguenay Lac Saint Jean,"121, rue Mistouk",CR
Alma,G8B 1M4,5,21,QC,CENTRE DE LA PETITE ENFANCE MAMIK,CPE,Saguenay Lac Saint Jean,"483, rue Sacré Coeur Ouest",CR
Alma,G8B 4S4,10,80,QC,CENTRE DE LA PETITE ENFANCE PLEIN SOLEIL,CPE,Saguenay Lac Saint Jean,"200, rue Price Ouest",CR
Alma,G8B 7G1,10,68,QC,CPE L'ENFANTHÈQUE,CPE,Saguenay Lac Saint Jean,"200, rue Alarie Est",CR
Alma,G8E 1J9,15,89,QC,GARDERIE BABILOU,GARD,Saguenay Lac Saint Jean,"221, rue des Bruyères",CR
Alma,G8B 0L4,15,80,QC,GARDERIE LES ÉTOILES DU LAC,GARD,Saguenay Lac Saint Jean,"322, rue Archambeault",CR
Alma,G8B 6V4,15,55,QC,LES GAMINS URBAINS,GARD,Saguenay Lac Saint Jean,"65, rue St Joseph",
Alma,G8B 4L4,0,24,QC,ÉCOLE MONTESSORI DU LAC ST JEAN,GARD,Saguenay Lac Saint Jean,"625, rue de la Gare Ouest",
Bégin,G0V 1B0,5,21,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION BÉGIN,CPE,Saguenay Lac Saint Jean,"130A, rue Brassard",CR
Chambord,G0W 1G0,5,73,QC,"CENTRE DE LA PETITE ENFANCE ""AUX PETITS TRESORS""",CPE,Saguenay Lac Saint Jean,"139, rue de la Plaine",CR
Desbiens,G0W 1N0,5,29,QC,CENTRE DE LA PETITE ENFANCE ÎLE AUX TRÉSORS,CPE,Saguenay Lac Saint Jean,"188, rue de Quen",CR
Dolbeau Mistassini,G8L 4J8,5,21,QC,CENTRE DE LA PETITE ENFANCE CROQUE LA VIE (INST. DOLBEAU MISTASSINI),CPE,Saguenay Lac Saint Jean,"56 A, rue de Quen",CR
Dolbeau Mistassini,G8L 6A9,10,65,QC,CENTRE DE LA PETITE ENFANCE CROQUE LUNE,CPE,Saguenay Lac Saint Jean,"175, avenue de la Fabrique",CR
Dolbeau Mistassini,G8L 3X7,10,52,QC,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,Saguenay Lac Saint Jean,"124, avenue des Chutes",CR
Dolbeau Mistassini,G8L 3J6,15,88,QC,GARDERIE LES PETITS BOUTS DE CHOUX,GARD,Saguenay Lac Saint Jean,"194, avenue Jean Dolbeau",CR
Girardville,G0W 1R0,10,41,QC,GARDERIE LA PETITE FABRIQUE INC.,GARD,Saguenay Lac Saint Jean,"165, rue Principale",
Hébertville,G8N 1T1,10,34,QC,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000 INSTALLATION HÉBERTVILLE,CPE,Saguenay Lac Saint Jean,"415, rue Turgeon",CR
L'Anse Saint Jean,G0V 1J0,0,16,QC,CENTRE DE LA PETITE ENFANCE MINI MONDE INSTALLATION DE L'ANSE ST JEAN,CPE,Saguenay Lac Saint Jean,"157A, Route 170",CR
L'Ascension de Notre Seigneur,G0W 1Y0,15,36,QC,CENTRE DE LA PETITE ENFANCE L'ASCENSION DES TOUT PETITS,CPE,Saguenay Lac Saint Jean,"1000, 1re Rue Est",CR
Larouche,G0W 1Z0,5,29,QC,LE JARDIN D'AMIS À LAROUCHE,CPE,Saguenay Lac Saint Jean,"651, rue Gagné",CR
Mashteuiatsh,G0W 2H0,20,96,QC,LE CENTRE DE LA PETITE ENFANCE AUETISSATSH,CPE,Saguenay Lac Saint Jean,"50, rue Auetissatsh",CR
Métabetchouan Lac à la Croix,G8G 1K9,10,76,QC,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000 INSTALLATION MÉTABETCHOUAN LAC À LA CROIX,CPE,Saguenay Lac Saint Jean,"19, rue des Pivoines",CR
Normandin,G8M 3Z5,10,52,QC,CENTRE DE LA PETITE ENFANCE CROQUE LA VIE,CPE,Saguenay Lac Saint Jean,"1153, avenue des Écoles",CR
Normandin,G8M 3X5,10,48,QC,GLOBULE ET MYRTILLE,GARD,Saguenay Lac Saint Jean,"1455, Avenue du Rocher, local 126",CR
Petit Saguenay,G0V 1N0,3,13,QC,"LE CENTRE DE LA PETITE ENFANCE ""LA PLANÈTE À MARS"" DU PETIT SAGUENAY",CPE,Saguenay Lac Saint Jean,"61, rue Dumas",CR
Péribonka,G0W 2G0,5,13,QC,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,CPE,Saguenay Lac Saint Jean,"202, 1re Avenue",CR
Roberval,G8H 3N8,15,75,QC,CENTRE DE LA PETITE ENFANCE LES AMIS DE LA CULBUTE,CPE,Saguenay Lac Saint Jean,"100, avenue Jules Constantin",CR
Roberval,G8H 1B9,10,50,QC,CENTRE DE LA PETITE ENFANCE LES AMIS DE LA CULBUTE INSTALLATION MILIEU DE TRAVAIL,CPE,Saguenay Lac Saint Jean,"416, rue Brassard",CR
Roberval,G8H 2H1,10,80,QC,LE JARDIN DE ROBI INC.,CPE,Saguenay Lac Saint Jean,"870, rue Saint Jean",CR
Saguenay,G7H 4E7,10,78,QC,A chacun son histoire   Chicoutimi ! inc.,GARD,Saguenay Lac Saint Jean,"765, rue d'Alma",
Saguenay,G7J 0C5,15,57,QC,ACADÉMIE DES MINI AMOURS,GARD,Saguenay Lac Saint Jean,"1411, chemin de la Réserve",
Saguenay,G7X 2T3,10,80,QC,"CENTRE DE LA PETITE ENFANCE ""LE JARDIN ENSANTÉ""",CPE,Saguenay Lac Saint Jean,"3641, rue Saint Bernard",CR
Saguenay,G0V 1A0,15,83,QC,CENTRE DE LA PETITE ENFANCE ALOUETTE INSTALLATION LES PETITS AVIATEURS,CPE,Saguenay Lac Saint Jean,"1775, rue Lucien Lecompte",CR
Saguenay,G0V 1A0,10,42,QC,CENTRE DE LA PETITE ENFANCE ALOUETTE INSTALLATION LES PETITS COQUELICOTS,CPE,Saguenay Lac Saint Jean,"1805, rue Jean Paul Desloges",CR
Saguenay,G7H 4J3,0,62,QC,CENTRE DE LA PETITE ENFANCE AUX PETITES JOIES INC.,CPE,Saguenay Lac Saint Jean,"290, rue du Séminaire",CR
Saguenay,G7X 5Z2,10,42,QC,CENTRE DE LA PETITE ENFANCE GARI GATOU GRANDEUR NATURE,CPE,Saguenay Lac Saint Jean,"207 2303, rue Sir Wilfrid Laurier",CR
Saguenay,G7S 2X6,5,78,QC,CENTRE DE LA PETITE ENFANCE GARI GATOU INC.,CPE,Saguenay Lac Saint Jean,"2126, rue Burma",CR
Saguenay,G7G 1L7,10,80,QC,CENTRE DE LA PETITE ENFANCE LA CACHE CACHE,CPE,Saguenay Lac Saint Jean,"250, rue Colbert",CR
Saguenay,G7S 5Y2,20,98,QC,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,Saguenay Lac Saint Jean,"3200, rue Sainte Émilie",CR
Saguenay,G7S 5M9,10,70,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE,CPE,Saguenay Lac Saint Jean,"3240, rue du Roi Georges",CR
Saguenay,G7S 4B2,5,21,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE CENTRE MULTISERVICES ST JEAN EUDES,CPE,Saguenay Lac Saint Jean,"2182, rue Bonneau",CR
Saguenay,G7X 6H3,5,21,QC,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE  INSTALLATION ST LAURENT,CPE,Saguenay Lac Saint Jean,"2122, rue du Père Lalemant",CR
Saguenay,G7B 2Y7,10,54,QC,CENTRE DE LA PETITE ENFANCE LE TOURNESOL DU FJORD,CPE,Saguenay Lac Saint Jean,"1001, rue du Docteur Desgagné",CR
Saguenay,G7H 8E5,10,68,QC,CENTRE DE LA PETITE ENFANCE LES DÉGOURDIS,CPE,Saguenay Lac Saint Jean,"774, rue des Saguenéens",CR
Saguenay,G7H 6M3,10,80,QC,CENTRE DE LA PETITE ENFANCE LES MINIMOUSSES,CPE,Saguenay Lac Saint Jean,"789, rue des Étudiants",CR
Saguenay,G7G 1J5,20,80,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION CHICOUTIMI,CPE,Saguenay Lac Saint Jean,"210, rue Mézy",CR
Saguenay,G7H 4M1,10,34,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION MILIEU ÉTUDIANT,CPE,Saguenay Lac Saint Jean,"847, rue Georges Vanier",CR
Saguenay,G7H 7K9,5,21,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST AMBROISE INSTALLATION TEMPORAIRE,CPE,Saguenay Lac Saint Jean,"930, rue Jacques Cartier",CR
Saguenay,G7J 0A9,5,47,QC,"CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX « CPE LA CAJOLERIE, INSTALLATION CÔTE RÉSERVE »",CPE,Saguenay Lac Saint Jean,"1165, rue des Carcajous",CR
Saguenay,G7H 2G9,20,98,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX « CPE LES TROTTINEURS »,CPE,Saguenay Lac Saint Jean,"889, chemin Sydenham",CR
Saguenay,G7S 3N6,10,80,QC,CENTRE DE LA PETITE ENFANCE LES PETITS POUSSINS,CPE,Saguenay Lac Saint Jean,"2120, rue Gilbert",CR
Saguenay,G7H 1Z9,5,45,QC,CENTRE DE LA PETITE ENFANCE MIKUENISS,CPE,Saguenay Lac Saint Jean,"491, rue Jacques Cartier Est",CR
Saguenay,G7B 1Y7,15,83,QC,CENTRE DE LA PETITE ENFANCE BUREAU COORDONNATEUR MINI MONDE,CPE,Saguenay Lac Saint Jean,"701, 5e Rue",CR
Saguenay,G7H 2Z7,0,76,QC,CPE AU PAYS DES LUTINS,CPE,Saguenay Lac Saint Jean,"100, rue Don Bosco",CR
Saguenay,G7X 3W1,10,80,QC,CPE DE LA SAGAMIE,CPE,Saguenay Lac Saint Jean,"3740, rue Panet",CR
Saguenay,G7H 7J5,15,79,QC,CPE LA GRANGE AUX LUTINS,CPE,Saguenay Lac Saint Jean,"1480, rang Saint Martin",CR
Saguenay,G7H 2Z7,20,28,QC,CPE LE BERCEAU DES LUTINS,CPE,Saguenay Lac Saint Jean,"106, rue Don Bosco",CR
Saguenay,G7J 1C9,10,80,QC,CPE LE JARDIN DE LA RIVIÈRE,CPE,Saguenay Lac Saint Jean,"75, rue Smith Ouest",CR
Saguenay,G7X 7W2,0,15,QC,CPE LE TRÈFLE À 4 FEUILLES,CPE,Saguenay Lac Saint Jean,"2505, rue Saint Hubert",CR
Saguenay,G7X 2Z4,0,16,QC,CPE VERT L'AVENTURE,CPE,Saguenay Lac Saint Jean,"3842, boulevard Harvey",CR
Saguenay,G7P 1G3,10,62,QC,GARDERIE BOUM BOUM,GARD,Saguenay Lac Saint Jean,"4527, rue Lavoie",CR
Saguenay,G7G 4E5,10,56,QC,GARDERIE BÉBÉLOUGAS,GARD,Saguenay Lac Saint Jean,"101, rue Beaupré",CR
Saguenay,G7X 4G7,5,37,QC,GARDERIE JE T'AIME,GARD,Saguenay Lac Saint Jean,"2121, rue Pasteur",CR
Saguenay,G7B 3M8,20,80,QC,GARDERIE L'UNIVERS DES TOUT P'TITS INC.,GARD,Saguenay Lac Saint Jean,"781, rue de Victoria",
Saguenay,G7J 0G6,25,65,QC,GARDERIE LA MAISON DES ÉTOILES INC.,GARD,Saguenay Lac Saint Jean,"129, rue Cossette",CR
Saguenay,G7S 3B6,15,41,QC,GARDERIE LA MINI OURSE,GARD,Saguenay Lac Saint Jean,"2168, rue Valin",
Saguenay,G7T 0B4,0,54,QC,GARDERIE LA PETITE OURSE,GARD,Saguenay Lac Saint Jean,"2540, rue Taillon",
Saguenay,G7N 1J1,5,31,QC,GARDERIE LE JARDIN DES ÉTOILES,GARD,Saguenay Lac Saint Jean,"917, rue du Boulevard",
Saguenay,G7X 0B9,20,78,QC,GARDERIE LE MONDE DE L'ÉNERGIE,GARD,Saguenay Lac Saint Jean,"3420, rue de l'Énergie",
Saguenay,G7X 3A5,10,80,QC,GARDERIE LES AVENTURES D'AXEL INC.,GARD,Saguenay Lac Saint Jean,"3714, boulevard Harvey",
Saguenay,G7J 3P7,45,87,QC,GARDERIE LES MINIS AMOURS INC.,GARD,Saguenay Lac Saint Jean,"1340, chemin de la Réserve",CR
Saguenay,G7X 0J1,15,80,QC,GARDERIE LES PETITES ÉTOILES,GARD,Saguenay Lac Saint Jean,"3330, rue de l'Énergie",
Saguenay,G7Z 0A2,5,21,QC,GARDERIE LES PETITS MOOSES INC.,GARD,Saguenay Lac Saint Jean,"4210, boulevard du Royaume",
Saguenay,G7J 0G6,15,80,QC,GARDERIE LES ÉTOILES DU PARC,GARD,Saguenay Lac Saint Jean,"129, rue Cossette",CR
Saguenay,G7X 0J1,25,33,QC,GARDERIE LEURS PREMIERS PAS,GARD,Saguenay Lac Saint Jean,"3322, rue de l'Énergie",CR
Saguenay,G7G 3N7,10,78,QC,GARDERIE NATURE,GARD,Saguenay Lac Saint Jean,"281, rue Pinel",
Saguenay,G7X 9E1,35,75,QC,L'UNIVERS DES POUPONS,GARD,Saguenay Lac Saint Jean,"2170, rue des Étudiants",CR
Saguenay,G7H 7K9,0,80,QC,LA PETITE ÉCOLE VISION SAGUENAY,GARD,Saguenay Lac Saint Jean,"930, rue Jacques Cartier Est C.P. 30",
Saguenay,G7B 2P5,40,56,QC,LA POUPONNIÈRE DES TOUT P'TITS,GARD,Saguenay Lac Saint Jean,"1402, rue Bagot",CR
Saguenay,G7J 3P7,0,15,QC,LA PRÉ MATERNELLE DES MINIS AMOURS,GARD,Saguenay Lac Saint Jean,"1340, chemin de la Réserve",
Saguenay,G7N 2B1,10,66,QC,"LE CENTRE DE LA PETITE ENFANCE ""LA PLANÈTE À MARS""",CPE,Saguenay Lac Saint Jean,"1530, rue du Vieux Pont Sud",CR
Saguenay,G7Z 1N3,10,80,QC,LE MONDE DES ENFANTS,GARD,Saguenay Lac Saint Jean,"4142, rue Marc Aurèle",CR
Saguenay,G8A 0B9,10,67,QC,LE PETIT MONDE DES ARTS ET DES SPORTS,GARD,Saguenay Lac Saint Jean,"2420, rue des Marronniers",CR
Saguenay,G7X 0J1,10,50,QC,LEURS PREMIERS PAS VERS L'UNIVERS,GARD,Saguenay Lac Saint Jean,"3326, rue de l'Énergie",
Saguenay,G7X 0E6,10,71,QC,LEURS PREMIERS PAS VERS LA GALAXIE,GARD,Saguenay Lac Saint Jean,"3843, rue Colbert",
Saguenay,G7X 0M5,10,80,QC,ROYAUME DES ENFANTS,GARD,Saguenay Lac Saint Jean,"4010, rue des Mouettes",CR
Saguenay,G7H 0P2,20,79,QC,À CHACUN SON HISTOIRE   LUXUOR,GARD,Saguenay Lac Saint Jean,"3000, rue du Plein Air",
Saguenay,G7H 1V2,0,36,QC,ÉCOLE MONTESSORI DU SAGUENAY INC.,GARD,Saguenay Lac Saint Jean,"700, rue Racine Est",
Saint Ambroise,G7P 2R1,10,52,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST AMBROISE,CPE,Saguenay Lac Saint Jean,"380, rue Gagnon",CR
Saint Bruno,G0W 2L0,0,3,QC,CENTRE DE LA PETITE ENFANCE LES TROIS PETITS PAS HÉBERVILLE STATION,CPE,Saguenay Lac Saint Jean,"150, rue de la Garderie",CR
Saint Bruno,G0W 2L0,10,62,QC,GARDERIE LA GRANDE OURSE,GARD,Saguenay Lac Saint Jean,"102, rue des Moissons",
Saint Bruno,G0W 2L0,15,80,QC,LE JARDIN D'AMIS À ST BRUNO,CPE,Saguenay Lac Saint Jean,"150, rue de la Garderie",CR
Saint Charles de Bourget,G0V 1G0,0,8,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST CHARLES,CPE,Saguenay Lac Saint Jean,"476, 2e Rang",CR
Saint David de Falardeau,G0V 1C0,10,42,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION FALARDEAU,CPE,Saguenay Lac Saint Jean,"106, boulevard Saint David",CR
Saint Fulgence,G0V 1S0,5,37,QC,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION ST FULGENCE,CPE,Saguenay Lac Saint Jean,"75, rue du Cap des Roches",CR
Saint Félicien,G8K 1J2,10,78,QC,CENTRE DE LA PETITE ENFANCE TROTTE MENU INC.,CPE,Saguenay Lac Saint Jean,"1349, rue Bellevue Nord",CR
Saint Félicien,G8K 2B5,15,67,QC,CENTRE DE LA PETITE ENFANCE TROTTE MENU INC.,CPE,Saguenay Lac Saint Jean,"1201, boulevard Julien",CR
Saint Félix d'Otis,G0V 1M0,0,8,QC,CENTRE DE LA PETITE ENFANCE LE TOURNESOL DU FJORD   INSTALLATION ST FÉLIX,CPE,Saguenay Lac Saint Jean,"494, rue Principale",CR
Saint Honoré,G0V 1L0,30,70,QC,"CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX ""CPE LA CAJOLERIE, INSTALLATION DE SAINT HONORÉ #2",CPE,Saguenay Lac Saint Jean,"701, rue Mailloux",CR
Saint Honoré,G0V 1L0,8,60,QC,"CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX « CPE LA CAJOLERIE, INSTALLATION DE ST HONORÉ #1 »",CPE,Saguenay Lac Saint Jean,"580, rue Laprise",CR
Saint Nazaire,G0W 2V0,10,36,QC,L'OASIS DES PICASSOS,CPE,Saguenay Lac Saint Jean,"365, rue des Camérisiers",CR
Saint Prime,G8J 2A8,10,78,QC,CENTRE DE LA PETITE ENFANCE LES SOURICEAUX,CPE,Saguenay Lac Saint Jean,"155, rue Saint Hilaire",CR
Sainte Rose du Nord,G0V 1T0,0,8,QC,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,CPE,Saguenay Lac Saint Jean,"186, rue du Quai",CR
